timestamp	measurement_desc	pi_value1	plant_name
2021-02-09 08:00:00	nhp_bruto_extracao_icp	161.22	Primavera do Leste
2021-02-09 16:00:00	nhp_bruto_extracao_icp	109.73	Primavera do Leste
2021-02-10 00:00:00	nhp_bruto_extracao_icp	101.27	Primavera do Leste
2021-02-10 08:00:00	nhp_bruto_extracao_icp	95.11	Primavera do Leste
2021-02-10 16:00:00	nhp_bruto_extracao_icp	97.83	Primavera do Leste
2021-02-11 00:00:00	nhp_bruto_extracao_icp	153.32	Primavera do Leste
2021-02-11 08:00:00	nhp_bruto_extracao_icp	104.27	Primavera do Leste
2021-02-11 16:00:00	nhp_bruto_extracao_icp	127.33	Primavera do Leste
2021-02-12 00:00:00	nhp_bruto_extracao_icp	176.97	Primavera do Leste
2021-02-12 08:00:00	nhp_bruto_extracao_icp	144.95	Primavera do Leste
2021-02-12 16:00:00	nhp_bruto_extracao_icp	139.11	Primavera do Leste
2021-02-13 00:00:00	nhp_bruto_extracao_icp	160.05	Primavera do Leste
2021-02-13 08:00:00	nhp_bruto_extracao_icp	116.21	Primavera do Leste
2021-02-13 16:00:00	nhp_bruto_extracao_icp	149.90	Primavera do Leste
2021-02-14 00:00:00	nhp_bruto_extracao_icp	142.16	Primavera do Leste
2021-02-14 08:00:00	nhp_bruto_extracao_icp	237.64	Primavera do Leste
2021-02-14 10:30:00	nhp_bruto_extracao_icp	139.96	Primavera do Leste
2021-02-14 16:00:00	nhp_bruto_extracao_icp	195.47	Primavera do Leste
2021-02-15 00:00:00	nhp_bruto_extracao_icp	161.28	Primavera do Leste
2021-02-15 08:00:00	nhp_bruto_extracao_icp	144.11	Primavera do Leste
2021-02-15 16:00:00	nhp_bruto_extracao_icp	94.38	Primavera do Leste
2021-02-16 00:00:00	nhp_bruto_extracao_icp	105.69	Primavera do Leste
2021-02-16 08:00:00	nhp_bruto_extracao_icp	188.67	Primavera do Leste
2021-02-17 00:00:00	nhp_bruto_extracao_icp	169.84	Primavera do Leste
2021-02-17 08:00:00	nhp_bruto_extracao_icp	146.03	Primavera do Leste
2021-02-17 16:00:00	nhp_bruto_extracao_icp	117.64	Primavera do Leste
2021-02-18 00:00:00	nhp_bruto_extracao_icp	182.19	Primavera do Leste
2021-02-18 08:00:00	nhp_bruto_extracao_icp	163.02	Primavera do Leste
2021-02-18 16:00:00	nhp_bruto_extracao_icp	175.96	Primavera do Leste
2021-02-19 00:00:00	nhp_bruto_extracao_icp	370.39	Primavera do Leste
2021-02-19 08:00:00	nhp_bruto_extracao_icp	208.29	Primavera do Leste
2021-02-19 16:00:00	nhp_bruto_extracao_icp	213.45	Primavera do Leste
2021-02-20 00:00:00	nhp_bruto_extracao_icp	175.36	Primavera do Leste
2021-02-20 08:00:00	nhp_bruto_extracao_icp	193.96	Primavera do Leste
2021-02-20 16:00:00	nhp_bruto_extracao_icp	201.83	Primavera do Leste
2021-02-21 00:00:00	nhp_bruto_extracao_icp	187.18	Primavera do Leste
2021-02-21 08:00:00	nhp_bruto_extracao_icp	198.28	Primavera do Leste
2021-02-21 16:00:00	nhp_bruto_extracao_icp	133.27	Primavera do Leste
2021-02-21 17:30:00	nhp_bruto_extracao_icp	181.53	Primavera do Leste
2021-02-22 00:00:00	nhp_bruto_extracao_icp	187.57	Primavera do Leste
2021-02-22 08:00:00	nhp_bruto_extracao_icp	179.89	Primavera do Leste
2021-02-22 16:00:00	nhp_bruto_extracao_icp	185.93	Primavera do Leste
2021-02-23 00:00:00	nhp_bruto_extracao_icp	193.19	Primavera do Leste
2021-02-23 09:00:00	nhp_bruto_extracao_icp	170.30	Primavera do Leste
2021-02-23 16:00:00	nhp_bruto_extracao_icp	190.96	Primavera do Leste
2021-02-24 00:00:00	nhp_bruto_extracao_icp	127.38	Primavera do Leste
2021-02-24 16:00:00	nhp_bruto_extracao_icp	130.97	Primavera do Leste
2021-02-24 21:00:00	nhp_bruto_extracao_icp	112.24	Primavera do Leste
2021-02-25 00:00:00	nhp_bruto_extracao_icp	125.26	Primavera do Leste
2021-02-25 08:00:00	nhp_bruto_extracao_icp	126.18	Primavera do Leste
2021-02-25 16:00:00	nhp_bruto_extracao_icp	155.58	Primavera do Leste
2021-02-26 00:00:00	nhp_bruto_extracao_icp	155.09	Primavera do Leste
2021-02-26 16:00:00	nhp_bruto_extracao_icp	134.90	Primavera do Leste
2021-02-27 00:00:00	nhp_bruto_extracao_icp	125.07	Primavera do Leste
2021-02-27 11:00:00	nhp_bruto_extracao_icp	117.43	Primavera do Leste
2021-02-27 16:00:00	nhp_bruto_extracao_icp	123.33	Primavera do Leste
2021-02-28 00:00:00	nhp_bruto_extracao_icp	188.06	Primavera do Leste
2021-02-28 16:00:00	nhp_bruto_extracao_icp	149.05	Primavera do Leste
2021-03-01 00:00:00	nhp_bruto_extracao_icp	149.75	Primavera do Leste
2021-03-01 16:00:00	nhp_bruto_extracao_icp	139.28	Primavera do Leste
2021-03-02 00:00:00	nhp_bruto_extracao_icp	133.51	Primavera do Leste
2021-03-02 08:00:00	nhp_bruto_extracao_icp	118.99	Primavera do Leste
2021-03-02 16:00:00	nhp_bruto_extracao_icp	118.17	Primavera do Leste
2021-03-03 00:00:00	nhp_bruto_extracao_icp	101.03	Primavera do Leste
2021-03-03 08:00:00	nhp_bruto_extracao_icp	111.06	Primavera do Leste
2021-03-04 00:00:00	nhp_bruto_extracao_icp	166.61	Primavera do Leste
2021-03-04 08:00:00	nhp_bruto_extracao_icp	179.37	Primavera do Leste
2021-03-04 11:00:00	nhp_bruto_extracao_icp	181.11	Primavera do Leste
2021-03-04 15:00:00	nhp_bruto_extracao_icp	154.10	Primavera do Leste
2021-03-04 21:30:00	nhp_bruto_extracao_icp	162.16	Primavera do Leste
2021-03-05 08:00:00	nhp_bruto_extracao_icp	197.66	Primavera do Leste
2021-03-06 00:00:00	nhp_bruto_extracao_icp	135.21	Primavera do Leste
2021-03-06 08:00:00	nhp_bruto_extracao_icp	151.84	Primavera do Leste
2021-03-06 16:00:00	nhp_bruto_extracao_icp	142.33	Primavera do Leste
2021-03-07 08:00:00	nhp_bruto_extracao_icp	117.00	Primavera do Leste
2021-03-07 16:00:00	nhp_bruto_extracao_icp	123.23	Primavera do Leste
2021-03-08 08:00:00	nhp_bruto_extracao_icp	212.94	Primavera do Leste
2021-03-08 16:00:00	nhp_bruto_extracao_icp	154.48	Primavera do Leste
2021-03-09 08:00:00	nhp_bruto_extracao_icp	156.83	Primavera do Leste
2021-03-09 16:00:00	nhp_bruto_extracao_icp	172.54	Primavera do Leste
2021-03-10 03:00:00	nhp_bruto_extracao_icp	211.96	Primavera do Leste
2021-03-10 08:00:00	nhp_bruto_extracao_icp	197.77	Primavera do Leste
2021-03-11 00:00:00	nhp_bruto_extracao_icp	163.59	Primavera do Leste
2021-03-11 08:00:00	nhp_bruto_extracao_icp	154.23	Primavera do Leste
2021-03-11 12:30:00	nhp_bruto_extracao_icp	145.02	Primavera do Leste
2021-03-11 16:00:00	nhp_bruto_extracao_icp	117.21	Primavera do Leste
2021-03-11 20:30:00	nhp_bruto_extracao_icp	136.51	Primavera do Leste
2021-03-12 08:00:00	nhp_bruto_extracao_icp	187.16	Primavera do Leste
2021-03-12 11:30:00	nhp_bruto_extracao_icp	216.36	Primavera do Leste
2021-03-13 00:00:00	nhp_bruto_extracao_icp	173.23	Primavera do Leste
2021-03-13 08:00:00	nhp_bruto_extracao_icp	156.89	Primavera do Leste
2021-03-13 11:30:00	nhp_bruto_extracao_icp	151.66	Primavera do Leste
2021-03-14 00:00:00	nhp_bruto_extracao_icp	180.71	Primavera do Leste
2021-03-14 04:00:00	nhp_bruto_extracao_icp	168.13	Primavera do Leste
2021-03-14 08:00:00	nhp_bruto_extracao_icp	179.68	Primavera do Leste
2021-03-15 00:00:00	nhp_bruto_extracao_icp	157.67	Primavera do Leste
2021-03-15 08:00:00	nhp_bruto_extracao_icp	244.24	Primavera do Leste
2021-03-15 13:30:00	nhp_bruto_extracao_icp	212.00	Primavera do Leste
2021-03-15 16:00:00	nhp_bruto_extracao_icp	206.45	Primavera do Leste
2021-03-16 16:00:00	nhp_bruto_extracao_icp	149.43	Primavera do Leste
2021-03-17 08:00:00	nhp_bruto_extracao_icp	155.30	Primavera do Leste
2021-03-17 12:00:00	nhp_bruto_extracao_icp	147.65	Primavera do Leste
2021-03-17 16:00:00	nhp_bruto_extracao_icp	171.92	Primavera do Leste
2021-03-18 08:00:00	nhp_bruto_extracao_icp	197.85	Primavera do Leste
